Attached kprobe to mutex_lock and kretprobe to mutex_unlock
Attached kprobe to _raw_write_lock and kretprobe to _raw_write_unlock
Attached kprobe to _raw_read_lock and kretprobe to _raw_read_unlock
Tracing  locks for 30 seconds
TIME(s)            COMM             PID    LOCKTIME
4.001453128        b'mongod'        335091 335080 18388517964412566376 4.001457     41140.000000    3650  
4.001526603        b'mongod'        335091 335080 18388517964412566376 4.001529     43785.000000    2645  
4.630442906        b'ftdc'          335100 335080 18388517938844771920 4.630464     5910382.000000  21507 
4.630434560        b'ftdc'          335100 335080 18388517939027212832 4.630475     463659.000000   40110 
4.631830002        b'ftdc'          335100 335080 18388517938844771920 4.631851     5931380.000000  20998 
4.631823397        b'ftdc'          335100 335080 18388517939027214112 4.631858     655393.000000   34744 
4.631905945        b'ftdc'          335100 335080 18388517938844771920 4.631921     5946210.000000  14830 
4.631901661        b'ftdc'          335100 335080 18388517939027207712 4.631926     603028.000000   24755 
4.632265241        b'ftdc'          335100 335080 18388517938844771920 4.632426     6107274.000000  161064
4.632260742        b'ftdc'          335100 335080 18388517939027207456 4.632433     764013.000000   172104
4.632449205        b'ftdc'          335100 335080 18388517938844771920 4.632451     6109449.000000  2175  
4.632445289        b'ftdc'          335100 335080 18388517939027207456 4.632457     775313.000000   11300 
4.632527784        b'ftdc'          335100 335080 18388517938844771920 4.632555     6136915.000000  27466 
4.632523660        b'ftdc'          335100 335080 18388517939027207200 4.632561     836805.000000   37564 
4.632572444        b'ftdc'          335100 335080 18388517938844771920 4.632574     6138919.000000  2004  
4.632568748        b'ftdc'          335100 335080 18388517939027207200 4.632580     847731.000000   10926 
4.632697923        b'ftdc'          335100 335080 18388517938844771920 4.632809     6249522.000000  110603
4.632693878        b'ftdc'          335100 335080 18388517939027209248 4.632814     783417.000000   120499
4.632826076        b'ftdc'          335100 335080 18388517938844771920 4.632828     6251572.000000  2050  
4.632822082        b'ftdc'          335100 335080 18388517939027209248 4.632834     794889.000000   11472 
4.632971554        b'ftdc'          335100 335080 18388517938844771920 4.633041     6321338.000000  69766 
4.632967389        b'ftdc'          335100 335080 18388517939027213856 4.633047     694121.000000   79829 
4.633058544        b'ftdc'          335100 335080 18388517938844771920 4.633061     6323442.000000  2104  
4.633054629        b'ftdc'          335100 335080 18388517939027213856 4.633066     705436.000000   11315 
4.633133203        b'ftdc'          335100 335080 18388517938844771920 4.633285     6475485.000000  152043
4.633128854        b'ftdc'          335100 335080 18388517939027208224 4.633292     578690.000000   162658
4.633303150        b'ftdc'          335100 335080 18388517938844771920 4.633310     6482367.000000  6882  
4.633299211        b'ftdc'          335100 335080 18388517939027208224 4.633315     594926.000000   16236 
4.633371586        b'ftdc'          335100 335080 18388517938844771920 4.633559     6669785.000000  187418
4.633367344        b'ftdc'          335100 335080 18388517939027210272 4.633565     745858.000000   197445
4.633576548        b'ftdc'          335100 335080 18388517938844771920 4.633625     6718186.000000  48401 
4.633572583        b'ftdc'          335100 335080 18388517939027210272 4.633631     803823.000000   57965 
4.633642588        b'ftdc'          335100 335080 18388517938844771920 4.633646     6721781.000000  3595  
4.633638733        b'ftdc'          335100 335080 18388517939027210272 4.633651     816523.000000   12700 
4.632660848        b'ftdc'          335100 335080 18446744071655467912 4.632666     64592.000000    5494  
4.632943055        b'ftdc'          335100 335080 18446744071655467912 4.632947     68417.000000    3825  
4.652449620        b'ftdc'          335100 335080 18388517938844771920 4.652554     6825775.000000  103994
4.652445390        b'ftdc'          335100 335080 18388517939027209760 4.652563     691116.000000   117185
4.652576259        b'ftdc'          335100 335080 18388517938844771920 4.652579     6828185.000000  2410  
4.652570858        b'ftdc'          335100 335080 18388517939027209760 4.652585     704957.000000   13841 
4.652676363        b'ftdc'          335100 335080 18388517939027211552 4.652703     600978.000000   26370 
4.652711693        b'ftdc'          335100 335080 18388517939027211552 4.652736     625748.000000   24770 
4.652772497        b'ftdc'          335100 335080 18446744071631907152 4.652791     241355.000000   18265 
4.652767598        b'ftdc'          335100 335080 18388517938844771920 4.652803     6863619.000000  35434 
4.652763483        b'ftdc'          335100 335080 18388517939027208736 4.652808     527652.000000   44959 
4.652819906        b'ftdc'          335100 335080 18388517938844771920 4.652822     6866025.000000  2406  
4.652816066        b'ftdc'          335100 335080 18388517939027208736 4.652828     539407.000000   11755 
4.652888065        b'ftdc'          335100 335080 18446744071631907152 4.652900     253491.000000   12136 
4.652883535        b'ftdc'          335100 335080 18388517938844771920 4.652911     6893421.000000  27396 
4.652879526        b'ftdc'          335100 335080 18388517939027210784 4.652916     354865.000000   36629 
4.652927356        b'ftdc'          335100 335080 18388517938844771920 4.652930     6895726.000000  2305  
4.652923455        b'ftdc'          335100 335080 18388517939027210784 4.652935     366321.000000   11456 
4.652973820        b'ftdc'          335100 335080 18446744071631907152 4.652984     263935.000000   10444 
4.652969100        b'ftdc'          335100 335080 18388517938844771920 4.652993     6919276.000000  23550 
4.652965316        b'ftdc'          335100 335080 18388517939027213600 4.652998     274924.000000   32549 
4.653008710        b'ftdc'          335100 335080 18388517938844771920 4.653011     6921466.000000  2190  
4.653005024        b'ftdc'          335100 335080 18388517939027213600 4.653016     285985.000000   11061 
5.001650035        b'mongod'        335091 335080 18388517939129512736 5.001674     156214.000000   24120 
5.001684204        b'mongod'        335091 335080 18388517939129512736 5.001687     159045.000000   2831  
5.001713013        b'mongod'        335091 335080 18388517939129513760 5.001730     205117.000000   17066 
5.001738808        b'mongod'        335091 335080 18388517939129513760 5.001741     207753.000000   2636  
5.001655349        b'mongod'        335091 335080 18388517964412566376 5.001659     47011.000000    3226  
5.001717338        b'mongod'        335091 335080 18388517964412566376 5.001720     49862.000000    2851  
5.630461805        b'ftdc'          335100 335080 18388517938844771920 5.630484     6943816.000000  22350 
5.630453224        b'ftdc'          335100 335080 18388517939027213600 5.630510     342830.000000   56845 
5.631824016        b'ftdc'          335100 335080 18388517938844771920 5.631842     6961926.000000  18110 
5.631818540        b'ftdc'          335100 335080 18388517939027210784 5.631849     396291.000000   29970 
5.631890780        b'ftdc'          335100 335080 18388517938844771920 5.631906     6977221.000000  15295 
5.631886610        b'ftdc'          335100 335080 18388517939027208736 5.631913     565957.000000   26550 
